,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses
gobmk,2073144174727.029,2102900737403.0154,518.2870382868875,832525916023.5883,448192677706.7406,14688014615.721882,2222428315.7726016,1273011455.3039849
astar,1197372147075.3813,1099899962164.996,299.34191810713776,545145125352.45044,289081727203.97003,19584326473.12132,9413064234.729652,367045522.7156917
zeusmp,1525583891989.541,1616799472655.9927,381.39656414904294,513191896052.4627,130519858470.60384,47041971782.62306,11709405917.329958,8239072449.654153
bzip2,1962214339105.748,2968300344413.0083,490.55330779465555,894052489212.2522,446096816338.5493,29323503922.047955,14098948995.808147,258348113.8460457
omnetpp,1395482690871.973,614400252080.1027,348.87050967145984,318374949005.5518,205657131643.7791,17434576986.63713,13559639514.993765,4618311335.150242
perlbench,3013911593149.821,2614200205492.994,753.4787371497009,1259722060748.7239,771230115030.6655,16196210754.258608,1649023644.3477075,363768083.7664215
hmmer,2284434261100.15,3879099993781.993,571.1075941356046,1526044095352.1206,374617094962.9332,12975026130.627113,7458488163.181835,63007476.057835035
libquantum,3243509545081.833,2029501154827.0513,810.8759533492978,578941156731.916,437654029215.4588,50472218740.80331,50468775772.09218,48799269826.52567
leslie3d,2216602208906.373,1922499245751.9873,554.1486790781158,643313766758.0079,158398190361.1616,56085859448.60369,36231283296.99554,23472301578.327835
lbm,2121120772189.1475,1356301082552.0364,530.2816399232443,298259766226.75684,87323548055.36763,85601262768.11366,51917793677.329475,26233773904.67498
sjeng,2936046945991.9644,2673899990062.999,734.0125154550133,950588536060.8784,657461926682.3192,4079305223.0149136,908524888.8802125,799509251.9784063
mcf,1246903923471.695,310700205306.0064,311.7260782169684,206250740944.96237,122527042577.50424,40499020347.57341,27966737126.755432,9703711064.822592
bwaves,2491771393557.498,1675300113620.4958,622.9428794598365,563296117437.1826,137074684444.50513,43724524827.00459,38226060540.28599,34146862686.00465
GemsFDTD,2338005820194.3384,1324100767129.0347,584.5016293288198,427075085832.374,92164226389.3841,39389257396.92231,28211158894.538925,21019890067.587475
milc,2279274941864.517,947500552845.0148,569.8195925534748,433990495992.2209,89507401889.18839,26916544438.114567,27540151980.468,25163402515.327785
povray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gromacs,1148939033250.0994,1543900809332.018,287.23785470477964,360420724558.4331,148280311867.3609,18583604631.665867,1828442159.4318533,75530422.44885439
namd,1023838384092.0619,1820599104321.9958,255.95983990800713,527417542369.80273,195555160734.43054,17993280350.818966,273165883.384831,129728307.5372896
