,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses,weightedIssued Instructions,weightedMemory Instructions,%Memory Instructions
gobmk,3341383199223.0728,2125000698182.0037,835.3461652896899,762422211285.9397,384833526663.6509,12564283817.593945,2163933583.867071,1305892065.326498,0.0,0.0,0.0
astar,2028570653189.966,1099899949256.0054,507.1435082587049,457186316617.82477,206308078464.573,19301220986.03445,9240061424.915531,323010379.32192856,0.0,0.0,0.0
bzip2,3979882760193.6875,2968300291744.002,994.9705558635254,872349637561.0962,435406607475.9302,29025969006.16611,13985016349.795778,250846551.35404173,0.0,0.0,0.0
libquantum,8826328126658.285,2029501099803.0178,2206.582257896477,564442176285.4513,447608916000.8511,50471785228.47426,50468303813.779175,50401507342.29218,0.0,0.0,0.0
bwaves,9177215839756.988,1675300093907.4956,2294.304493321398,575602834856.4406,153272256890.1104,71869775363.47667,38226645949.66841,35337871054.539345,0.0,0.0,0.0
povray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omnetpp,2389610205349.9443,614400244499.1023,597.402362493614,267153829843.55075,149682104887.71158,15097987528.431313,12276860361.664244,3780885983.505746,0.0,0.0,0.0
perlbench,4323644414853.2812,2614200180443.003,1080.911941389842,1110283132262.143,597722213474.1791,12911986441.0933,1496113942.112198,345147463.0662672,0.0,0.0,0.0
leslie3d,4587373177167.84,1922499225962.9927,1146.8446901922136,642836091143.2952,210274308215.45935,64455973740.525566,36655125114.80194,23285446515.113895,0.0,0.0,0.0
hmmer,4731017378132.012,3879099911122.9995,1182.753295686373,1341332394553.1997,513361018364.6666,12986939895.723984,7438502883.567296,60547094.45396969,0.0,0.0,0.0
mcf,4045299697893.499,310700201275.0003,1011.3246078409428,143702867759.4566,62301738780.62617,38420317704.75894,27664594299.548794,9972062065.329838,0.0,0.0,0.0
gromacs,2384565171327.839,1543900791509.9976,596.1413804736233,350737129384.6083,131286725328.06796,17743881592.733444,1777831148.4715495,74406987.25806859,0.0,0.0,0.0
zeusmp,3684526686248.831,1616799432983.984,921.1306609549931,512951766260.177,132611202477.0637,46641700919.417175,11661832033.420544,8098982724.895413,0.0,0.0,0.0
sjeng,4009819702873.3115,2673899946092.0024,1002.4567431219969,792108722801.433,508437200796.5434,3205559758.2505913,883715703.4836882,782227304.942812,0.0,0.0,0.0
milc,5853651964938.519,947500538243.0,1463.4120177341063,435020035518.10944,98118791726.39955,24428816550.816082,24067937634.008347,21442010497.20847,0.0,0.0,0.0
namd,2803003459092.0083,1820599079773.9822,700.7511256999862,504819593270.0458,208665890845.28656,17897924703.75873,266174051.9839162,126771815.92177989,0.0,0.0,0.0
lbm,5490040041221.073,1356301047647.0024,1372.509805060924,297124220895.9294,86944263271.80711,85600305336.18297,51917829485.34581,24733696962.737896,0.0,0.0,0.0
GemsFDTD,4781974382542.794,1324100728375.0012,1195.496297838199,429315649664.5747,94064924344.42711,39535763309.98052,28869215350.269344,21063016621.865707,0.0,0.0,0.0
