,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses,weightedIssued Instructions,weightedMemory Instructions,%Memory Instructions
astar,41513656355698.34,1099899949188.0054,415.13734189567896,454549576508.8783,205707032586.8303,19297875364.276943,9206180061.224121,322082974.0582351,0.0,0.0,0.0
hmmer,81065119915766.19,3879099911123.0005,810.6502446545624,1340919055647.5593,514733863831.3707,12967515714.957937,7427377122.268429,64064338.677968405,0.0,0.0,0.0
bwaves,218692430717706.5,1675300092529.4958,2186.9265528140368,575336820607.5905,153271048272.7835,71552082196.53288,38226336683.970406,35557310687.65607,0.0,0.0,0.0
sjeng,66275331537781.33,2673899944610.003,662.7548151683254,790111264725.1238,501886414648.8873,3213521993.3067603,883721620.6808288,782176059.9257555,0.0,0.0,0.0
libquantum,211826998366191.8,2029501099449.0173,2118.2710764985927,564442078244.396,447599122477.3766,50471738426.47163,50468257542.77681,50417471970.0497,0.0,0.0,0.0
perlbench,78234587852477.62,2614200181219.0015,782.3459375999139,1107178584860.0034,602589692560.2358,13063953490.545593,1495177705.1971786,345814780.14298433,0.0,0.0,0.0
leslie3d,99149678084722.69,1922499227610.993,991.497937255831,642776141333.5381,210026631209.1347,64483848842.17961,36638656391.65278,23663040564.911232,0.0,0.0,0.0
gobmk,57310222243655.64,2125000697770.0042,573.1032817758794,761573854008.2139,382757796017.88684,12596180433.981916,2163092635.6662893,1317517449.859773,0.0,0.0,0.0
bzip2,69215498150672.13,2968300291374.0024,692.1545042350174,862834060843.0083,434479332995.0152,29027939456.59125,13975495198.22366,252627492.71530154,0.0,0.0,0.0
mcf,44344636112454.43,223300196181.00018,443.4459618919143,105337438622.2294,41804034421.31242,22280673524.275665,17157519258.932255,4507028779.591244,0.0,0.0,0.0
zeusmp,68968403762411.625,1616799432405.9836,689.6847748559371,512788362849.4897,132549885831.12122,46713242536.86975,11641108536.14691,8142479316.005857,0.0,0.0,0.0
namd,33809343136352.34,1820599084847.9875,338.091839081279,504780355426.92834,207804774729.03195,17895132919.591576,265625154.97767928,127695006.05167353,0.0,0.0,0.0
omnetpp,50614533638009.195,614400244499.1023,506.14490637950263,266669085076.29242,150890646886.77545,15091311816.591633,12264693335.607798,3761800630.652839,0.0,0.0,0.0
lbm,105549030764653.23,1356301047676.0024,1055.4923062414662,297124214761.9201,86886579977.4676,85603070683.09875,51917843479.35222,24743284342.8332,0.0,0.0,0.0
milc,57356948417527.04,486100092028.0005,573.5692963844675,227621917376.05737,49388317117.67391,10792955907.329847,10784930177.35147,9188691541.371273,0.0,0.0,0.0
GemsFDTD,107913628137213.94,1324100727353.0,1079.1364765293126,428162672360.763,93940006489.03699,39642818767.689865,28852933534.45461,21160073621.732685,0.0,0.0,0.0
gromacs,25325206273447.617,1543900789284.9995,253.25152791539182,350363165332.0886,131628069244.54922,17744398278.279366,1776167882.3126194,73253905.49225341,0.0,0.0,0.0
povray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
