,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses,weightedIssued Instructions,weightedMemory Instructions,%Memory Instructions
gromacs,2621829788795.547,1543900791509.9978,26.218267917864,350737126838.5978,131286748593.0084,17744694272.42544,1777347812.8150747,74415884.8110314,0.0,0.0,0.0
bzip2,4579323917050.1875,2968300291744.0034,45.792910012540396,872349649264.0981,435406662201.92053,29028059190.121037,13985697935.969162,250079334.9745874,0.0,0.0,0.0
gobmk,8848080875824.19,2125000698182.0037,88.47949912747495,762422193525.9249,384833772123.6028,12564732797.542774,2164284055.0863423,1252191517.0693161,0.0,0.0,0.0
milc,99176700263073.4,915300539559.0002,991.7670238843212,419850216103.4898,95342721381.37775,23178349987.237823,22969471723.033348,20317017277.977356,0.0,0.0,0.0
GemsFDTD,79740039942729.06,1324100728375.0012,797.398003624786,429315691933.5896,94064988991.39383,39844925509.16987,28932514101.82386,21208436381.753784,0.0,0.0,0.0
povray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmmer,4829049365885.051,3879099911123.0005,48.292783373677395,1341332392871.1992,513361039322.67865,12981976681.89039,7438695537.170347,59928028.61329228,0.0,0.0,0.0
namd,3182588688848.794,1820599079773.9824,31.8252013957162,504819600603.04706,208668111490.0774,17898600437.44664,265964055.2039121,123670724.87532008,0.0,0.0,0.0
lbm,70429414294143.25,1356301047647.0024,704.2923786302691,297124220895.9293,86944264362.8076,85602224578.20335,51917835486.36596,24803595485.01399,0.0,0.0,0.0
astar,3921167681421.2695,1099899949256.0054,39.21014270174602,457186312090.824,206307933758.64026,19301377262.88461,9240245305.85488,323531912.75034297,0.0,0.0,0.0
libquantum,104115244365329.5,2029501100747.0178,1041.1542606106013,564442176285.4512,447692011362.7859,50471740502.45087,50468238332.73822,43556075799.23122,0.0,0.0,0.0
bwaves,163182027329136.16,1675300093511.495,1631.8251296220822,575599231684.7402,153272263713.106,64074834990.0121,38226554708.820625,35375905772.98531,0.0,0.0,0.0
perlbench,5612633346282.67,2614200180443.004,56.12624404527869,1110283141522.1306,597722111995.1989,12912383243.188923,1496743881.442691,344742633.08279765,0.0,0.0,0.0
omnetpp,24942610900082.52,614400244499.1023,249.42603655115693,267153792897.5003,149682115056.7022,15098246382.833647,12277154671.455122,3781220379.87101,0.0,0.0,0.0
mcf,24153012599827.043,222800196291.00015,241.53003001824482,105149375252.11871,41751107794.6122,22198463629.874626,17074644445.281738,4385526892.6839695,0.0,0.0,0.0
zeusmp,35484484892955.375,1616799432983.984,354.845546939162,512951850184.111,132611112941.13835,46815816117.64634,11695363828.866573,8081336522.780063,0.0,0.0,0.0
sjeng,9497618350233.559,2673899946092.003,94.97469511477753,792108717001.4261,508437189831.54443,3205106781.188317,883601128.5741142,781924333.7166357,0.0,0.0,0.0
leslie3d,50948208766252.25,1922499225962.9927,509.4823326571664,642837358943.2882,210280594435.86075,64208385176.90049,36747528254.98201,23100950804.891983,0.0,0.0,0.0
