,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses,weightedIssued Instructions,weightedMemory Instructions,%Memory Instructions
astar,16745486013301.1,1099899967716.9944,167.45428911151444,540404976247.3632,234085674349.95007,20500405343.85155,9862719968.270206,441880572.67251146,6051718706.0,2896526205.0,47.862869140434896
GemsFDTD,56981998682710.08,1324100745147.004,569.8203052655736,425498699043.98505,90534524546.41286,39225509405.85488,28003843111.995663,21175509200.908157,2288169040.0,919835746.0,40.19964128174726
namd,12487369574673.598,1820599113648.0037,124.87305314144514,509241421101.69116,172175022818.85077,18559567905.89464,276502140.2243942,131048636.8551933,2360705913.0,882655959.0,37.38949244543194
hmmer,24307100063547.25,3879099976429.0,243.07028300716166,1524544042127.5288,333114275761.1694,12743242796.540081,7440797423.111437,63450506.88690778,5293283029.0,2111926582.0,39.898236508977725
zeusmp,31183126260098.945,1616799443380.9775,311.8197998365311,513204770459.0245,129774225187.52376,47376477850.707466,11664526659.43343,8298239367.089977,2342442958.0,979715670.0,41.82452625597725
perlbench,19433870927032.883,1338200578489.6025,194.3390966274051,646591450932.6621,318158074677.24695,9300670701.664917,1392376968.8475842,194158502.14042652,4155247502.0,1961354802.0,47.20187668859587
gobmk,21309116414022.586,1738100534793.0103,213.09012267441835,700603476182.087,315798126786.7866,10322072534.49046,1437746461.5619488,607043626.9163016,10486233022.0,4274965724.0,40.76741109062873
bzip2,28988552934261.67,2968300328989.0,289.88516406101104,920718560866.7578,409164286187.27875,29237952710.173634,14047961321.286798,259045708.02394888,14746511561.0,5031462603.0,34.11968032023706
povray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sjeng,35489135478927.46,2673899975116.994,354.8929219479773,994511454761.7798,524497271628.5033,3697727578.874389,907467747.8494555,795755805.8090626,2914741270.0,1044718687.0,35.8425873937003
mcf,29171855849402.793,310700204315.00604,291.7186134453532,207211857457.51514,119204655215.565,39775070894.38481,27957529065.97532,9625649536.111893,3522056398.0,1988504958.0,56.4586347660183
bwaves,51113285328001.86,1675300121653.4958,511.13021480279576,574407416177.6844,136907642716.55861,42270650557.69695,38213268609.18599,34174412852.389584,2328094079.0,960666850.0,41.264090599493336
libquantum,80027752377761.25,2029501140801.0486,800.2749428476503,578332592810.904,433252524632.0562,50471065977.293335,50467612090.57036,48652658385.51288,2098392660.0,598105853.0,28.50304732766269
gromacs,9923233071261.283,1543900827970.0369,99.23012851534858,362001715967.72845,135707798263.34163,18873358928.06238,1866320391.9774811,76248498.46667922,2242702522.0,637891856.0,28.442999004216574
milc,52910243279480.51,947500554871.0225,529.1037037479311,435013336718.3135,88813994567.68585,26920638550.475483,27118062728.427517,24841265727.269802,2648071319.0,1559463568.0,58.89054259267101
lbm,45906827320017.81,1356301076472.0264,459.06748731298904,298513665388.2744,87171258820.41612,85606172571.5748,51917725838.27367,26307878538.931305,2131198314.0,766840278.0,35.98164811611239
leslie3d,47131547264775.48,1922499247485.9695,471.3115343419428,643303843225.7919,156880973876.74823,55096760942.58216,35504774160.06048,23505120449.766586,2329009278.0,995180061.0,42.729759404590915
omnetpp,20932180961261.64,470200241837.1033,209.3217098561485,252904875798.2975,140640882591.80942,13582642221.944798,10408495436.509209,3580653924.3339987,2527698828.0,1239756587.0,49.046847403926556
