,weightedCycle,weightedInstructions,weightedSeconds,weightedL1D Accesses,weightedL1I Accesses,weightedL2 Accesses,weightedL3 Accesses,weightedL3 Misses
leslie3d,35560559618421.98,1922499251837.973,355.60312472126054,643321889956.1782,158563359427.22534,56011584804.83339,36273500037.42715,23515856544.560894
bwaves,39372544720986.305,1675300113748.4958,393.72260710258263,563306977614.496,137081253254.85382,43729902686.58411,38226183270.14209,33970466108.503254
astar,2738278293995.308,1099899962356.997,27.383148809756303,545290940945.9292,289209818029.1776,19585410851.461956,9412824110.258911,368669675.33035976
perlbench,3968548294291.326,2614200207604.995,39.68677028579447,1259788441050.2224,771304489265.8928,16204516627.64868,1650190138.9232523,364354999.2969717
GemsFDTD,49342864793456.266,1324100764838.037,493.4269022205684,427056276163.6822,92165355235.10313,39516790263.66609,28252544399.011776,21228693954.656864
namd,1286000512333.4905,1820599104891.9944,12.857814276705,527641908683.9601,195734004069.72607,17997984568.289616,274874589.47240543,130145765.94714865
bzip2,2328976463761.735,2968300342677.0054,23.290448675459494,894119247855.9067,446134792492.6398,29320992648.71026,14098192617.336975,257127834.9105181
gobmk,4954272900346.957,2125000740232.0166,49.543104009299405,841865683360.0671,453109639032.498,14807651002.64293,2228753270.2608905,1278411827.3092089
libquantum,67535222416383.61,2029501150321.0505,675.3553673213119,585104215884.2078,447438784239.7481,50472199655.78765,50468750218.06899,48673818111.178314
sjeng,7716293420966.164,2673899990062.999,77.16320207507688,950619576142.5221,657543705465.2214,4078598893.621936,908610683.9512836,799871512.5936025
hmmer,2383983887416.218,3879099993781.992,23.839395192007707,1526058064842.183,374622771783.4727,12979699017.950592,7458039321.240594,62748723.04230084
milc,47383817949858.76,947500557217.0157,473.83944568311966,433978072427.10657,89579153384.71678,27127666352.522602,27732253004.27575,25355270987.677963
gromacs,1335367795812.2021,1543900809332.0183,13.3522256766136,360418499652.86475,148285275414.33054,18587330615.206997,1828337639.3668544,76303013.70859121
zeusmp,22055274002765.17,1616799477573.9749,220.550852402405,513189378713.4807,130549527192.45998,47102956629.559135,11709864615.576105,8222971340.125893
lbm,40948105678016.11,1356301081839.0334,409.4801844012896,298226506492.0689,87321678590.78033,85607059557.18651,51917873122.40975,26264155727.43342
omnetpp,17565814045145.05,614400252500.1024,175.65829854786585,319207893679.57825,207190416292.67984,17428581957.21775,13553028083.387129,4613880561.075961
mcf,22275343995067.168,310700205228.0064,222.75371362112264,211496327030.86823,129557845979.27972,39814832000.28917,27941510410.40294,9591993390.90969
